X,Y,fid,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,Densidade,Densidadee,População PB _População,icon_url
-37.6626218780433,-7.47048771701928,"1","2500106",Água Branca,PB,241.662,"0",0.043,10.306,./0.png
-38.2137792166074,-7.07408179364614,"2","2500205",Aguiar,PB,351.607,"0",0.016,5.63,./0.png
-35.602842289354,-7.05907201931991,"3","2500304",Alagoa Grande,PB,322.071,"0",0.088,28.439,./1.png
-35.766917396462,-7.06164337238429,"4","2500403",Alagoa Nova,PB,128.23,"0",0.163,20.921,./2.png
-35.5222137312948,-6.96196816779202,"5","2500502",Alagoinha,PB,111.361,"0",0.131,14.56,./1.png
-36.0467116079035,-7.68991035239389,"6","2500536",Alcantil,PB,309.896,"0",0.018,5.509,./0.png
-35.972253508287,-6.88793186404241,"7","2500577",Algodão de Jandaíra,PB,222.74,"0",0.012,2.577,./0.png
-34.9333231640079,-7.34861971365961,"8","2500601",Alhandra,PB,183.974,"0",0.107,19.727,./1.png
-38.4178494441277,-6.73273851529826,"9","2500700",São João do Rio do Peixe,PB,476.238,"0",0.038,18.026,./0.png
-37.0393555464404,-7.56065007957807,"10","2500734",Amparo,PB,122.094,"0",0.018,2.251,./0.png
-38.0679556360668,-6.78934018334007,"11","2500775",Aparecida,PB,291.478,"0",0.029,8.416,./0.png
-35.3544582324704,-6.86122092632865,"12","2500809",Araçagi,PB,232.177,"0",0.073,16.921,./1.png
-35.7312977116887,-6.8580676939325,"13","2500908",Arara,PB,91.306,"0",0.148,13.542,./1.png
-35.7550639006189,-6.52423620050846,"14","2501005",Araruna,PB,246.717,"0",0.083,20.463,./1.png
-35.7053599243833,-6.95034440892035,"15","2501104",Areia,PB,269.13,"0",0.084,22.656,./1.png
-36.9618754598914,-7.11187541283888,"16","2501153",Areia de Baraúnas,PB,114.078,"0",0.019,2.116,./0.png
-35.9314801807834,-7.04922658598499,"17","2501203",Areial,PB,35.81,"0",0.196,7.027,./2.png
-35.6909263692832,-7.53558422948055,"18","2501302",Aroeiras,PB,376.118,"0",0.051,19.116,./0.png
-36.7102839709107,-7.07361145987089,"19","2501351",Assunção,PB,132.139,"0",0.03,4.029,./0.png
-34.9887993327475,-6.66311984090877,"20","2501401",Baía da Traição,PB,102.756,"0",0.089,9.096,./1.png
-35.5962670191982,-6.70017700556526,"21","2501500",Bananeiras,PB,255.641,"0",0.083,21.269,./1.png
-36.2613982551442,-6.62058124718698,"22","2501534",Baraúna,PB,50.03,"0",0.099,4.964,./1.png
-35.966067516633,-7.56483706187625,"23","2501575",Barra de Santana,PB,375.177,"0",0.022,8.349,./0.png
-36.076015553036,-6.79116892372972,"24","2501609",Barra de Santa Rosa,PB,781.187,"0",0.02,15.497,./0.png
-36.2865743722353,-7.70035593414004,"25","2501708",Barra de São Miguel,PB,609.697,"0",0.01,6.065,./0.png
-34.9219466367306,-7.13173454808448,"26","2501807",Bayeux,PB,27.705,"4",3.509,97.203,./2.png
-35.4982337956037,-6.7053033331327,"27","2501906",Belém,PB,99.609,"0",0.178,17.705,./2.png
-37.3659173135555,-6.14898129432962,"28","2502003",Belém do Brejo do Cruz,PB,601.549,"0",0.012,7.349,./0.png
-38.5557676009854,-6.4810638470271,"29","2502052",Bernardino Batista,PB,57.453,"0",0.062,3.536,./0.png
-38.1882826745584,-7.43106261330968,"30","2502102",Boa Ventura,PB,168.664,"0",0.031,5.307,./0.png
-36.2186814078123,-7.27166501533797,"31","2502151",Boa Vista,PB,468.933,"0",0.015,7.136,./0.png
-38.6302067380042,-6.82277947564113,"32","2502201",Bom Jesus,PB,47.367,"0",0.054,2.575,./0.png
-37.9477852163119,-6.47482096650714,"33","2502300",Bom Sucesso,PB,186.059,"0",0.027,4.956,./0.png
-38.4781897089992,-7.28928193823441,"34","2502409",Bonito de Santa Fé,PB,226.798,"0",0.053,12.022,./0.png
-36.1498740521964,-7.50659629580823,"35","2502508",Boqueirão,PB,373.077,"0",0.048,17.87,./0.png
-38.1245751072468,-7.15520697807409,"36","2502607",Igaracy,PB,197.058,"0",0.031,6.105,./0.png
-35.6012338625317,-6.79407448266365,"37","2502706",Borborema,PB,26.107,"0",0.203,5.287,./2.png
-37.4970040948209,-6.32971614117938,"38","2502805",Brejo do Cruz,PB,401.315,"0",0.035,14.206,./0.png
-37.8465547554763,-6.39844211867171,"39","2502904",Brejo dos Santos,PB,93.857,"0",0.069,6.464,./0.png
-34.91893970422,-7.48676926060522,"40","2503001",Caaporã,PB,151.018,"0",0.145,21.955,./1.png
-36.2988960983357,-7.45100736427712,"41","2503100",Cabaceiras,PB,469.171,"0",0.012,5.661,./0.png
-34.8475664927947,-7.02774364700928,"42","2503209",Cabedelo,PB,29.873,"2",2.302,68.767,./2.png
-38.6956527846731,-6.94600640383791,"43","2503308",Cachoeira dos Índios,PB,193.215,"0",0.053,10.305,./0.png
-37.1736214351688,-7.13873420633357,"44","2503407",Cacimba de Areia,PB,213.018,"0",0.017,3.695,./0.png
-35.8136832443486,-6.62458177431963,"45","2503506",Cacimba de Dentro,PB,165.072,"0",0.104,17.178,./1.png
-37.0904109522107,-7.20945079674286,"46","2503555",Cacimbas,PB,124.068,"0",0.058,7.199,./0.png
-35.411724872048,-6.60627556563469,"47","2503605",Caiçara,PB,123.677,"0",0.058,7.191,./0.png
